id;avgInc;incY1;incY2;incY3;incY4;incY5;pass
1;5149.46;2788.54;3381.73;4857.45;6365.33;6776.08;66.70
2;3928.09;2063.21;2641.95;3666.86;4294.05;0.00;18.20
3;3563.41;1194.96;2138.51;3349.25;3597.82;4401.85;56.00
4;7376.03;5806.29;6517.93;7100.49;7571.24;8627.98;5.90
6;4342.85;3470.81;2960.87;3781.89;5486.69;6933.40;60.00
8;4776.53;2200.63;3378.49;4379.31;5197.99;6469.15;63.60
9;3666.83;1725.71;2225.91;3340.86;4678.62;5635.32;35.00
10;8083.08;4752.04;5889.17;7566.41;9573.39;11285.86;42.90
11;6163.39;3447.59;4118.83;5530.77;7063.48;8604.66;60.70
12;5359.18;2793.70;3231.98;4832.44;6137.47;8225.82;36.40
13;10084.78;5742.51;7360.95;9888.36;13206.15;15037.29;5.60
14;6345.86;4119.05;5348.52;7476.47;0.00;0.00;64.30
15;6528.75;3690.17;4204.01;5075.80;6433.10;8106.35;41.20
16;5820.43;2829.63;3530.48;4474.92;6088.12;8360.37;66.70
17;8466.75;6027.17;7019.62;9022.55;8970.43;9555.32;0.00
18;3464.88;2459.41;3601.03;4465.43;0.00;0.00;42.90
19;3154.05;1988.90;2191.86;3725.44;3572.29;3502.49;28.60
20;4605.30;2303.37;3067.43;3888.73;4916.99;6253.05;52.20
21;3004.11;2029.58;2718.66;3151.18;3166.65;3524.49;33.30
25;3690.29;3291.74;0.00;0.00;0.00;0.00;23.70
28;5865.79;2417.56;3016.29;4955.20;6410.47;7447.85;68.40
29;4902.24;3104.48;2624.31;3749.43;5048.40;5664.81;84.60
30;6856.87;3745.21;5434.83;6311.34;8573.50;0.00;63.60
31;5576.48;4129.14;4623.85;4889.62;6053.63;7495.88;56.20
32;6284.71;4200.54;4742.41;5854.57;7159.68;7787.49;52.60
33;5436.83;2936.57;3572.04;4300.84;5063.45;7089.82;85.20
34;5020.29;2876.32;3410.63;4363.91;5269.12;6241.59;80.40
35;10285.68;7545.73;8661.01;11863.45;14985.03;16242.94;15.00
36;10775.33;6478.37;7876.52;10045.08;12577.94;15590.10;40.00
37;9158.80;6260.54;7410.05;8509.80;10510.94;10976.84;25.00
38;7056.90;3465.03;3895.76;5438.98;7220.71;9729.12;70.60
39;6126.66;4370.95;4460.04;6062.32;7330.98;7466.48;42.10
40;4643.41;3464.63;3458.25;4103.88;4837.96;6828.28;25.00
41;7384.43;6822.27;7479.86;0.00;0.00;0.00;46.90
43;6656.19;4829.49;6031.81;6029.27;7297.60;8951.45;0.00
44;6332.58;3198.98;3942.47;5187.29;6431.78;7995.51;55.60
45;6630.06;3133.19;3515.31;5042.00;6962.23;9224.61;65.90
46;6946.97;3943.19;4898.48;5882.46;7606.63;8773.42;42.20
47;5731.09;1528.22;3017.80;4145.50;5618.33;6994.51;84.60
48;6322.48;2563.35;3789.26;5580.92;7494.47;8894.65;65.00
49;6842.86;3589.10;5113.29;7250.97;7824.17;9223.97;0.00
50;7173.10;4728.28;5866.68;6796.16;8148.96;9267.08;0.00
51;9812.11;3148.26;5205.99;11387.01;12693.91;13819.18;0.00
52;4565.38;3226.83;4488.51;0.00;0.00;0.00;44.00
53;3424.26;2485.22;2947.18;3913.28;5628.75;5286.26;0.00
54;4826.46;1705.79;2624.87;3826.61;6289.09;7207.19;38.90
55;4716.60;2330.50;3398.10;3786.67;4968.46;5818.43;75.00
56;7049.27;4558.66;2723.57;5705.76;7022.75;0.00;66.70
57;3761.60;2765.39;3346.59;3147.20;4461.40;5750.49;0.00
58;4213.19;983.67;1721.79;3417.91;5170.05;0.00;87.50
59;4457.47;2913.38;2934.09;3194.02;4363.91;5769.65;76.50
60;6739.50;4170.32;5276.09;7293.12;7097.30;7509.32;73.90
61;5641.15;3188.20;4256.29;5503.16;6061.81;6985.81;71.40
62;5112.05;2922.74;4185.90;6779.77;6149.82;6695.02;22.00
63;4726.30;2121.30;1663.34;3333.71;5146.03;5745.72;52.60
64;3649.72;2687.37;3868.84;3297.11;4440.70;4847.63;33.30
65;4035.81;4661.25;0.00;0.00;0.00;0.00;0.00
66;3972.10;1654.12;1504.03;2632.34;4064.58;4789.19;54.50
67;5212.39;4529.32;0.00;0.00;0.00;0.00;10.00
70;2987.38;2166.98;2499.38;2775.74;3520.58;3827.68;45.80
71;6578.21;4643.04;4915.19;5999.97;7459.02;8864.45;31.80
72;7074.57;5465.21;6376.21;6295.21;7044.93;8577.53;21.40
73;5766.32;3883.00;4456.40;5094.84;6250.15;7449.23;57.10
74;3837.91;2160.77;2239.78;3287.95;4052.43;4735.46;60.00
75;4391.02;2137.38;2408.03;3511.25;4658.59;5439.30;72.90
76;4294.48;2269.52;2745.62;3502.21;4720.79;5537.46;40.30
77;4146.60;2271.17;3365.32;4095.51;4289.80;4902.95;52.90
81;3698.37;2326.97;2633.42;2733.63;3569.46;4470.84;46.70
82;2838.28;1835.43;3442.06;0.00;0.00;0.00;44.40
