P_ROKDYP;P_KIERUNEK_ID;P_POZIOM;P_FORMA;P_E_ZAR;P_E_ZAR_P1;P_E_ZAR_P2;P_E_ZAR_P3;P_E_ZAR_P4;P_E_ZAR_P5;P_PROC_UKON;P_KIERUNEK_NAZWA;P_NAZWA_UCZELNI;P_NAZWA_JEDN;P_PROFIL;P_UCZELNIA_SKROT;P_POZIOM_TEKST_PL;P_NAZWA_KIERUNKU_PELNA
2018;7148;1;N;5639,67;3468,11;5135,18;4726,21;5523,61;7175,21;76,5;Międzynarodowe stosunki gospodarcze - k. unikatowy;Szkoła Główna Handlowa w Warszawie;;O;SGHW;Studia pierwszego stopnia;Międzynarodowe stosunki gospodarcze - k. unikatowy, studia niestacjonarne pierwszego stopnia, 6-semestralne, profil ogólnoakademicki
2018;7149;1;S;8779,1;3742,08;4702,53;5935,71;8362,47;11588,76;63,2;Ekonomia;Szkoła Główna Handlowa w Warszawie;;O;SGHW;Studia pierwszego stopnia;Ekonomia, studia stacjonarne pierwszego stopnia, 6-semestralne, profil ogólnoakademicki
2018;7150;1;S;8892,02;4464,6;5917,52;7405,03;9976,46;12877,37;70;Metody ilościowe w ekonomii i systemy informacyjne - k. unikatowy;Szkoła Główna Handlowa w Warszawie;;O;SGHW;Studia pierwszego stopnia;Metody ilościowe w ekonomii i systemy informacyjne - k. unikatowy, studia stacjonarne pierwszego stopnia, 6-semestralne, profil ogólnoakademicki
2018;7152;1;N;8297,77;5093,69;5939,77;7129,11;8941;10541,3;56,4;Metody ilościowe w ekonomii i systemy informacyjne - k. unikatowy;Szkoła Główna Handlowa w Warszawie;;O;SGHW;Studia pierwszego stopnia;Metody ilościowe w ekonomii i systemy informacyjne - k. unikatowy, studia niestacjonarne pierwszego stopnia, 6-semestralne, profil ogólnoakademicki
2018;7153;1;N;8704,28;6121,95;7313,5;6957,23;10554,29;12278,48;40;Zarządzanie;Szkoła Główna Handlowa w Warszawie;;O;SGHW;Studia pierwszego stopnia;Zarządzanie, studia niestacjonarne pierwszego stopnia, 6-semestralne, profil ogólnoakademicki
2018;7154;1;S;3597,39;2103,58;2387,49;3069,1;4058,54;5473,76;50;Ochrona dóbr kultury i środowiska;Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie;Wydział Nauk Historycznych i Społecznych;O;UKSW;Studia pierwszego stopnia;Ochrona dóbr kultury i środowiska, studia stacjonarne pierwszego stopnia, 6-semestralne, profil ogólnoakademicki
2018;7155;1;N;4729,95;2701,44;2860,27;3546,95;4206,41;5854,75;23,5;Bezpieczeństwo i higiena pracy;Kujawska Szkoła Wyższa we Włocławku;Wydział Nauk Społecznych i Technicznych;P;WSHEW;Studia pierwszego stopnia;Bezpieczeństwo i higiena pracy, studia niestacjonarne pierwszego stopnia, 7-semestralne, profil praktyczny
2018;7156;1;N;4615,71;3435,9;3912,34;4666,87;5499,34;6092,96;0;Budownictwo;Kujawska Szkoła Wyższa we Włocławku;Wydział Nauk Społecznych i Technicznych;P;WSHEW;Studia pierwszego stopnia;Budownictwo, studia niestacjonarne pierwszego stopnia, 7-semestralne, profil praktyczny
2018;7158;2;N;7244,23;5260,11;5880,15;7190,94;7801,44;9014,61;;Pielęgniarstwo;Kujawska Szkoła Wyższa we Włocławku;Wydział Nauk o Zdrowiu;P;WSHEW;Studia drugiego stopnia;Pielęgniarstwo, studia niestacjonarne drugiego stopnia, 4-semestralne, profil praktyczny
2018;7162;1;N;6457,33;5069,96;5736,95;5697,47;6849,06;7760,1;20;Inżynieria mechaniczna;Kujawska Szkoła Wyższa we Włocławku;Wydział Mechaniczny w Grudziądzu;P;WSHEW;Studia pierwszego stopnia;Inżynieria mechaniczna, studia niestacjonarne pierwszego stopnia, 7-semestralne, profil praktyczny
