nazwazmiennej,etykieta
P_ROKDYP,Rok ukończenia studiów
P_KIERUNEK_ID,Numer identyfikacyjny programu studiów
P_POZIOM,Stopień ukończonych studiów
P_FORMA,Forma ukończonych studiów
P_N,Liczba absolwentów
P_N_WZUS,"Liczba absolwentów, którzy w okresie objętym badaniem występują w rejestrach ZUS"
P_N_POZAZUS,"Liczba absolwentów, którzy w okresie objętym badaniem nie występują w rejestrach ZUS"
P_PROC_WZUS,"Procent absolwentów, którzy w okresie objętym badaniem występują w rejestrach ZUS"
P_PROC_POZAZUS,"Procent absolwentów, którzy w okresie objętym badaniem nie występują w rejestrach ZUS"
P_PROC_DOSW,"Procent absolwentów, którzy mieli doświadczenie pracy przed uzyskaniem dyplomu"
P_N_DOSW_REKR,"Liczba absolwentów, którzy mieli doświadczenie pracy przed rozpoczęciem studiów"
P_N_DOSW_STUDIA,"Liczba absolwentów, którzy nie mieli doświadczenia pracy przed rozpoczęciem studiów, ale uzyskali je w trakcie studiów"
P_N_NDOSW,"Liczba absolwentów, którzy nie mieli doświadczenia pracy przed uzyskaniem dyplomu"
P_PROC_STUDIA,"Procent absolwentów, którzy mieli doświadczenie studiowania po uzyskaniu dyplomu"
P_PROC_MIES_STUDIA,"Procent miesięcy po uzyskaniu dyplomu, w których przeciętny absolwent studiował na innych programach studiów"
P_PROC_UKON,"Procent absolwentów, którzy po uzyskaniu dyplomu podjęli i ukończyli studia II stopnia"
P_PROC_DYPLOM,"Procent absolwentów, którzy po uzyskaniu dyplomu ukończyli kolejne studia"
P_PROC_DOKTORANCKIE,"Procent absolwentów, którzy po uzyskaniu dyplomu kształcili się na studiach doktoranckich lub w szkole doktorskiej "
P_PROC_DOKTORAT,"Procent absolwentów, którzy po uzyskaniu dyplomu uzyskali stopień doktora"
P_CZAS_PRACA_DOSW,Średni czas (w miesiącach) od uzyskania dyplomu do podjęcia pierwszej pracy po uzyskaniu dyplomu wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_CZAS_PRACA_NDOSW,Średni czas (w miesiącach) od uzyskania dyplomu do podjęcia pierwszej pracy po uzyskaniu dyplomu wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu
P_CZAS_PRACA,Średni czas (w miesiącach) od uzyskania dyplomu do podjęcia pierwszej pracy po uzyskaniu dyplomu
P_CZAS_PRACA_Q1,Pierwszy kwintyl czasu (w miesiącach) od uzyskania dyplomu do podjęcia pierwszej pracy po uzyskaniu dyplomu
P_CZAS_PRACA_Q2,Drugi kwintyl czasu (w miesiącach) od uzyskania dyplomu do podjęcia pierwszej pracy po uzyskaniu dyplomu
P_CZAS_PRACA_Q3,Trzeci kwintyl czasu (w miesiącach) od uzyskania dyplomu do podjęcia pierwszej pracy po uzyskaniu dyplomu
P_CZAS_PRACA_Q4,Czwarty kwintyl czasu (w miesiącach) od uzyskania dyplomu do podjęcia pierwszej pracy po uzyskaniu dyplomu
P_CZAS_PRACA_PROC_MODALNA,"Procent absolwentów, dla których czas od uzyskania dyplomu do podjęcia pierwszej pracy był równy modalnej - wartość podawana tylko w przypadku, gdy wszystkie kwintyle są równe"
P_CZAS_ETAT_DOSW,Średni czas (w miesiącach) od uzyskania dyplomu do podjęcia pierwszej pracy na umowę o pracę po uzyskaniu dyplomu wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_CZAS_ETAT_NDOSW,Średni czas (w miesiącach) od uzyskania dyplomu do podjęcia pierwszej pracy na umowę o pracę po uzyskaniu dyplomu wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu
P_CZAS_ETAT,Średni czas (w miesiącach) od uzyskania dyplomu do podjęcia pierwszej pracy na umowę o pracę po uzyskaniu dyplomu
P_CZAS_ETAT_Q1,Pierwszy kwintyl czasu (w miesiącach) od uzyskania dyplomu do podjęcia pierwszej pracy na umowę o pracę po uzyskaniu dyplomu
P_CZAS_ETAT_Q2,Drugi kwintyl czasu (w miesiącach) od uzyskania dyplomu do podjęcia pierwszej pracy na umowę o pracę po uzyskaniu dyplomu
P_CZAS_ETAT_Q3,Trzeci kwintyl czasu (w miesiącach) od uzyskania dyplomu do podjęcia pierwszej pracy na umowę o pracę po uzyskaniu dyplomu
P_CZAS_ETAT_Q4,Czwarty kwintyl czasu (w miesiącach) od uzyskania dyplomu do podjęcia pierwszej pracy na umowę o pracę po uzyskaniu dyplomu
P_CZAS_ETAT_PROC_MODALNA,"Procent absolwentów, dla których czas od uzyskania dyplomu do podjęcia pierwszej pracy na umowę o pracę był równy modalnej - wartość podawana tylko w przypadku, gdy wszystkie kwintyle są równe"
P_CZY_PRACA_MUNDUR,"Procent absolwentów, którzy mieli doświadczenie pracy w służbach mundurowych po uzyskaniu dyplomu - tylko dla wybranych programów studiów"
P_CZAS_PRACA_MUNDUR,Średni czas (w miesiącach) od uzyskania dyplomu do podjęcia pierwszej pracy w służbach mundurowych po uzyskaniu dyplomu - tylko dla wybranych programów studiów
P_CZAS_PRACA_MUNDUR_ME,Mediana czasu (w miesiącach) od uzyskania dyplomu do podjęcia pierwszej pracy w służbach mundurowych po uzyskaniu dyplomu - tylko dla wybranych programów studiów
P_CZY_BEZR_DOSW,"Procent absolwentów, którzy mieli doświadczenie bycia bezrobotnym po uzyskaniu dyplomu wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu"
